per,wellid,qdes,per,,qdes
10,well1000,0,10,well1486,0
10,well1001,0,10,well1487,0
10,well1002,0,10,well1488,0
10,well1003,0,10,well1489,0
10,well1004,0,10,well1490,0
10,well1005,0,10,well1491,0
10,well1006,0,10,well1492,0
10,well1007,0,10,well1493,0
10,well1008,0,10,well1494,0
10,well1009,0,10,well1495,0
10,well1010,0,10,well1496,0
10,well487,0,10,well973,0
10,well488,-0.6,10,well974,-864
10,well489,0,10,well975,0
10,well490,0,10,well976,0
10,well491,-0.9,10,well977,-1296
10,well492,-1,10,well978,-1440
10,well493,-1,10,well979,-1440
10,well494,0,10,well980,0
10,well495,0,10,well981,0
10,well496,0,10,well982,0
10,well497,0,10,well983,0
10,well498,0,10,well984,0
10,well499,-0.3,10,well985,-432
10,well500,-1.1,10,well986,-1584
10,well501,0,10,well987,0
10,well502,0,10,well988,0
10,well503,0,10,well989,0
10,well504,-0.8,10,well990,-1152
10,well505,0,10,well991,0
10,well506,0,10,well992,0
10,well507,0,10,well993,0
10,well508,0,10,well994,0
10,well509,0,10,well995,0
10,well510,0,10,well996,0
10,well511,0,10,well997,0
10,well512,0,10,well998,0
10,well513,0,10,well999,0
10,well514,0,10,well1000,0
10,well515,0,10,well1001,0
10,well516,0,10,well1002,0
10,well517,0,10,well1003,0
10,well518,0,10,well1004,0
10,well519,0,10,well1005,0
10,well520,0,10,well1006,0
10,well521,0,10,well1007,0
10,well522,0,10,well1008,0
10,well523,0,10,well1009,0
10,well524,-0.7,10,well1010,-1008
10,well525,0,10,well1011,0
10,well526,0,10,well1012,0
10,well527,0,10,well1013,0
10,well528,0,10,well1014,0
10,well529,0,10,well1015,0
10,well530,0,10,well1016,0
10,well531,0,10,well1017,0
10,well532,0,10,well1018,0
10,well533,0,10,well1019,0
10,well534,0,10,well1020,0
10,well535,0,10,well1021,0
10,well536,0,10,well1022,0
10,well537,0,10,well1023,0
10,well538,0,10,well1024,0
10,well539,0,10,well1025,0
10,well540,0,10,well1026,0
10,well541,0,10,well1027,0
10,well542,0,10,well1028,0
10,well543,0,10,well1029,0
10,well544,0,10,well1030,0
10,well545,0,10,well1031,0
10,well546,0,10,well1032,0
10,well547,0,10,well1033,0
10,well548,0,10,well1034,0
10,well549,0,10,well1035,0
10,well550,0,10,well1036,0
10,well551,0,10,well1037,0
10,well552,0,10,well1038,0
10,well553,0,10,well1039,0
10,well554,0,10,well1040,0
10,well555,0,10,well1041,0
10,well556,0,10,well1042,0
10,well557,0,10,well1043,0
10,well558,0,10,well1044,0
10,well559,0,10,well1045,0
10,well560,0,10,well1046,0
10,well561,0,10,well1047,0
10,well562,0,10,well1048,0
10,well563,0,10,well1049,0
10,well564,0,10,well1050,0
10,well565,0,10,well1051,0
10,well566,0,10,well1052,0
10,well567,0,10,well1053,0
10,well568,0,10,well1054,0
10,well569,0,10,well1055,0
10,well570,0,10,well1056,0
10,well571,0,10,well1057,0
10,well572,0,10,well1058,0
10,well573,0,10,well1059,0
10,well574,0,10,well1060,0
10,well575,0,10,well1061,0
10,well576,0,10,well1062,0
10,well577,0,10,well1063,0
10,well578,0,10,well1064,0
10,well579,0,10,well1065,0
10,well580,0,10,well1066,0
10,well581,0,10,well1067,0
10,well582,0,10,well1068,0
10,well583,0,10,well1069,0
10,well584,0,10,well1070,0
10,well585,0,10,well1071,0
10,well586,0,10,well1072,0
10,well587,0,10,well1073,0
10,well588,0,10,well1074,0
10,well589,0,10,well1075,0
10,well590,0,10,well1076,0
10,well591,0,10,well1077,0
10,well592,-0.2,10,well1078,-288
10,well593,-1.25,10,well1079,-1800
10,well594,-0.4,10,well1080,-576
10,well595,0,10,well1081,0
10,well596,-0.3,10,well1082,-432
10,well597,-0.125,10,well1083,-180
10,well598,-0.8,10,well1084,-1152
10,well599,-0.2,10,well1085,-288
10,well600,-0.15,10,well1086,-216
10,well601,-0.2,10,well1087,-288
10,well602,-0.3,10,well1088,-432
10,well603,-0.6,10,well1089,-864
10,well604,-0.4,10,well1090,-576
10,well605,-1.4,10,well1091,-2016
10,well606,-0.7,10,well1092,-1008
10,well607,0,10,well1093,0
10,well608,-1.4,10,well1094,-2016
10,well609,-1.25,10,well1095,-1800
10,well610,-0.7,10,well1096,-1008
10,well611,0,10,well1097,0
10,well612,-0.7,10,well1098,-1008
10,well613,0,10,well1099,0
10,well614,-0.9,10,well1100,-1296
10,well615,-1.1,10,well1101,-1584
10,well616,-0.6,10,well1102,-864
10,well617,-0.7,10,well1103,-1008
10,well618,-0.6,10,well1104,-864
10,well619,-0.15,10,well1105,-216
10,well620,-0.15,10,well1106,-216
10,well621,-0.3,10,well1107,-432
10,well622,-0.3,10,well1108,-432
10,well623,-1.4,10,well1109,-2016
10,well624,-1,10,well1110,-1440
10,well625,-0.6,10,well1111,-864
10,well626,-0.5,10,well1112,-720
10,well627,-0.5,10,well1113,-720
10,well628,-0.2,10,well1114,-288
10,well629,-0.4,10,well1115,-576
10,well630,-0.4,10,well1116,-576
10,well631,-0.15,10,well1117,-216
10,well632,-0.3,10,well1118,-432
10,well633,0,10,well1119,0
10,well634,-1.6,10,well1120,-2304
10,well635,-1,10,well1121,-1440
10,well636,-0.25,10,well1122,-360
10,well637,-0.35,10,well1123,-504
10,well638,-0.15,10,well1124,-216
10,well639,-0.35,10,well1125,-504
10,well640,-0.2,10,well1126,-288
10,well641,-0.15,10,well1127,-216
10,well642,-0.2,10,well1128,-288
10,well643,-0.2,10,well1129,-288
10,well644,-0.6,10,well1130,-864
10,well645,-0.2,10,well1131,-288
10,well646,-0.6,10,well1132,-864
10,well647,-0.15,10,well1133,-216
10,well648,-0.15,10,well1134,-216
10,well649,-0.1,10,well1135,-144
10,well650,0,10,well1136,0
10,well651,0,10,well1137,0
10,well652,-0.65,10,well1138,-936
10,well653,0,10,well1139,0
10,well654,-0.5,10,well1140,-720
10,well655,-0.15,10,well1141,-216
10,well656,-0.15,10,well1142,-216
10,well657,-0.4,10,well1143,-576
10,well658,0,10,well1144,0
10,well659,-0.35,10,well1145,-504
10,well660,-1.1,10,well1146,-1584
10,well661,-0.2,10,well1147,-288
10,well662,-0.5,10,well1148,-720
10,well663,0,10,well1149,0
10,well664,0,10,well1150,0
10,well665,0,10,well1151,0
10,well666,0,10,well1152,0
10,well667,0,10,well1153,0
10,well668,0,10,well1154,0
10,well669,0,10,well1155,0
10,well670,0,10,well1156,0
10,well671,0,10,well1157,0
10,well672,-1.1,10,well1158,-1584
10,well673,0,10,well1159,0
10,well674,0,10,well1160,0
10,well675,-0.6,10,well1161,-864
10,well676,0,10,well1162,0
10,well677,-2.2,10,well1163,-3168
10,well678,-1,10,well1164,-1440
10,well679,-1.8,10,well1165,-2592
10,well680,-1.4,10,well1166,-2016
10,well681,-1,10,well1167,-1440
10,well682,-0.7,10,well1168,-1008
10,well683,-0.7,10,well1169,-1008
10,well684,0,10,well1170,0
10,well685,-0.4,10,well1171,-576
10,well686,0,10,well1172,0
10,well687,-0.5,10,well1173,-720
10,well688,-0.45,10,well1174,-648
10,well689,-1.1,10,well1175,-1584
10,well690,-0.3,10,well1176,-432
10,well691,0,10,well1177,0
10,well692,-0.3,10,well1178,-432
10,well693,-0.35,10,well1179,-504
10,well694,0,10,well1180,0
10,well695,-0.5,10,well1181,-720
10,well696,-0.3,10,well1182,-432
10,well697,-1.1,10,well1183,-1584
10,well698,-0.3,10,well1184,-432
10,well699,-0.2,10,well1185,-288
10,well700,-0.4,10,well1186,-576
10,well701,-0.2,10,well1187,-288
10,well702,-0.1,10,well1188,-144
10,well703,0,10,well1189,0
10,well704,-0.2,10,well1190,-288
10,well705,-0.8,10,well1191,-1152
10,well706,0,10,well1192,0
10,well707,0,10,well1193,0
10,well708,-0.5,10,well1194,-720
10,well709,-0.2,10,well1195,-288
10,well710,-1.4,10,well1196,-2016
10,well711,0,10,well1197,0
10,well712,-0.8,10,well1198,-1152
10,well713,0,10,well1199,0
10,well714,0,10,well1200,0
10,well715,0,10,well1201,0
10,well716,0,10,well1202,0
10,well717,-0.5,10,well1203,-720
10,well718,-1,10,well1204,-1440
10,well719,-0.2,10,well1205,-288
10,well720,-0.3,10,well1206,-432
10,well721,-0.3,10,well1207,-432
10,well722,0,10,well1208,0
10,well723,0,10,well1209,0
10,well724,0,10,well1210,0
10,well725,-0.55,10,well1211,-792
10,well726,-0.6,10,well1212,-864
10,well727,0,10,well1213,0
10,well728,-0.6,10,well1214,-864
10,well729,-1.4,10,well1215,-2016
10,well730,-1.2,10,well1216,-1728
10,well731,-0.25,10,well1217,-360
10,well732,0,10,well1218,0
10,well733,0,10,well1219,0
10,well734,0,10,well1220,0
10,well735,-1.1,10,well1221,-1584
10,well736,0,10,well1222,0
10,well737,-0.6,10,well1223,-864
10,well738,-0.6,10,well1224,-864
10,well739,0,10,well1225,0
10,well740,0,10,well1226,0
10,well741,0,10,well1227,0
10,well742,0,10,well1228,0
10,well743,-0.6,10,well1229,-864
10,well744,-0.3,10,well1230,-432
10,well745,-0.3,10,well1231,-432
10,well746,-0.3,10,well1232,-432
10,well747,-0.3,10,well1233,-432
10,well748,0,10,well1234,0
10,well749,0,10,well1235,0
10,well750,0,10,well1236,0
10,well751,0,10,well1237,0
10,well752,0,10,well1238,0
10,well753,0,10,well1239,0
10,well754,0,10,well1240,0
10,well755,0,10,well1241,0
10,well756,0,10,well1242,0
10,well757,0,10,well1243,0
10,well758,0,10,well1244,0
10,well759,0,10,well1245,0
10,well760,0,10,well1246,0
10,well761,0,10,well1247,0
10,well762,0,10,well1248,0
10,well763,0,10,well1249,0
10,well764,0,10,well1250,0
10,well765,0,10,well1251,0
10,well766,0,10,well1252,0
10,well767,0,10,well1253,0
10,well768,0,10,well1254,0
10,well769,0,10,well1255,0
10,well770,0,10,well1256,0
10,well771,0,10,well1257,0
10,well772,0,10,well1258,0
10,well773,0,10,well1259,0
10,well774,0,10,well1260,0
10,well775,0,10,well1261,0
10,well776,0,10,well1262,0
10,well777,0,10,well1263,0
10,well778,0,10,well1264,0
10,well779,0,10,well1265,0
10,well780,0,10,well1266,0
10,well781,0,10,well1267,0
10,well782,0,10,well1268,0
10,well783,0,10,well1269,0
10,well784,0,10,well1270,0
10,well785,0,10,well1271,0
10,well786,0,10,well1272,0
10,well787,0,10,well1273,0
10,well788,0,10,well1274,0
10,well789,0,10,well1275,0
10,well790,0,10,well1276,0
10,well791,0,10,well1277,0
10,well792,0,10,well1278,0
10,well793,0,10,well1279,0
10,well794,0,10,well1280,0
10,well795,0,10,well1281,0
10,well796,0,10,well1282,0
10,well797,0,10,well1283,0
10,well798,0,10,well1284,0
10,well799,0,10,well1285,0
10,well800,0,10,well1286,0
10,well801,0,10,well1287,0
10,well802,0,10,well1288,0
10,well803,0,10,well1289,0
10,well804,0,10,well1290,0
10,well805,0,10,well1291,0
10,well806,0,10,well1292,0
10,well807,0,10,well1293,0
10,well808,0,10,well1294,0
10,well809,0,10,well1295,0
10,well810,0,10,well1296,0
10,well811,0,10,well1297,0
10,well812,0,10,well1298,0
10,well813,0,10,well1299,0
10,well814,0,10,well1300,0
10,well815,0,10,well1301,0
10,well816,0,10,well1302,0
10,well817,0,10,well1303,0
10,well818,0,10,well1304,0
10,well819,0,10,well1305,0
10,well820,0,10,well1306,0
10,well821,0,10,well1307,0
10,well822,0,10,well1308,0
10,well823,0,10,well1309,0
10,well824,0,10,well1310,0
10,well825,0,10,well1311,0
10,well826,0,10,well1312,0
10,well827,0,10,well1313,0
10,well828,0,10,well1314,0
10,well829,0,10,well1315,0
10,well830,0,10,well1316,0
10,well831,0,10,well1317,0
10,well832,0,10,well1318,0
10,well833,0,10,well1319,0
10,well834,0,10,well1320,0
10,well835,0,10,well1321,0
10,well836,0,10,well1322,0
10,well837,0,10,well1323,0
10,well838,0,10,well1324,0
10,well839,0,10,well1325,0
10,well840,0,10,well1326,0
10,well841,0,10,well1327,0
10,well842,0,10,well1328,0
10,well843,0,10,well1329,0
10,well844,0,10,well1330,0
10,well845,0,10,well1331,0
10,well846,0,10,well1332,0
10,well847,0,10,well1333,0
10,well848,0,10,well1334,0
10,well849,0,10,well1335,0
10,well850,0,10,well1336,0
10,well851,0,10,well1337,0
10,well852,0,10,well1338,0
10,well853,0,10,well1339,0
10,well854,0,10,well1340,0
10,well855,0,10,well1341,0
10,well856,0,10,well1342,0
10,well857,0,10,well1343,0
10,well858,0,10,well1344,0
10,well859,0,10,well1345,0
10,well860,0,10,well1346,0
10,well861,0,10,well1347,0
10,well862,0,10,well1348,0
10,well863,0,10,well1349,0
10,well864,0,10,well1350,0
10,well865,0,10,well1351,0
10,well866,0,10,well1352,0
10,well867,0,10,well1353,0
10,well868,0,10,well1354,0
10,well869,0,10,well1355,0
10,well870,0,10,well1356,0
10,well871,0,10,well1357,0
10,well872,0,10,well1358,0
10,well873,0,10,well1359,0
10,well874,0,10,well1360,0
10,well875,0,10,well1361,0
10,well876,0,10,well1362,0
10,well877,0,10,well1363,0
10,well878,0,10,well1364,0
10,well879,0,10,well1365,0
10,well880,0,10,well1366,0
10,well881,0,10,well1367,0
10,well882,0,10,well1368,0
10,well883,0,10,well1369,0
10,well884,0,10,well1370,0
10,well885,0,10,well1371,0
10,well886,0,10,well1372,0
10,well887,0,10,well1373,0
10,well888,0,10,well1374,0
10,well889,0,10,well1375,0
10,well890,0,10,well1376,0
10,well891,0,10,well1377,0
10,well892,0,10,well1378,0
10,well893,0,10,well1379,0
10,well894,0,10,well1380,0
10,well895,0,10,well1381,0
10,well896,0,10,well1382,0
10,well897,0,10,well1383,0
10,well898,0,10,well1384,0
10,well899,0,10,well1385,0
10,well900,0,10,well1386,0
10,well901,0,10,well1387,0
10,well902,0,10,well1388,0
10,well903,0,10,well1389,0
10,well904,0,10,well1390,0
10,well905,0,10,well1391,0
10,well906,0,10,well1392,0
10,well907,0,10,well1393,0
10,well908,0,10,well1394,0
10,well909,0,10,well1395,0
10,well910,0,10,well1396,0
10,well911,0,10,well1397,0
10,well912,0,10,well1398,0
10,well913,0,10,well1399,0
10,well914,0,10,well1400,0
10,well915,0,10,well1401,0
10,well916,0,10,well1402,0
10,well917,0,10,well1403,0
10,well918,0,10,well1404,0
10,well919,0,10,well1405,0
10,well920,0,10,well1406,0
10,well921,0,10,well1407,0
10,well922,0,10,well1408,0
10,well923,0,10,well1409,0
10,well924,0,10,well1410,0
10,well925,0,10,well1411,0
10,well926,0,10,well1412,0
10,well927,0,10,well1413,0
10,well928,0,10,well1414,0
10,well929,0,10,well1415,0
10,well930,0,10,well1416,0
10,well931,0,10,well1417,0
10,well932,0,10,well1418,0
10,well933,0,10,well1419,0
10,well934,0,10,well1420,0
10,well935,0,10,well1421,0
10,well936,0,10,well1422,0
10,well937,0,10,well1423,0
10,well938,0,10,well1424,0
10,well939,0,10,well1425,0
10,well940,0,10,well1426,0
10,well941,0,10,well1427,0
10,well942,0,10,well1428,0
10,well943,0,10,well1429,0
10,well944,0,10,well1430,0
10,well945,0,10,well1431,0
10,well946,0,10,well1432,0
10,well947,0,10,well1433,0
10,well948,0,10,well1434,0
10,well949,0,10,well1435,0
10,well950,0,10,well1436,0
10,well951,0,10,well1437,0
10,well952,0,10,well1438,0
10,well953,0,10,well1439,0
10,well954,0,10,well1440,0
10,well955,0,10,well1441,0
10,well956,0,10,well1442,0
10,well957,0,10,well1443,0
10,well958,0,10,well1444,0
10,well959,0,10,well1445,0
10,well960,0,10,well1446,0
10,well961,0,10,well1447,0
10,well962,0,10,well1448,0
10,well963,0,10,well1449,0
10,well964,0,10,well1450,0
10,well965,0,10,well1451,0
10,well966,0,10,well1452,0
10,well967,0,10,well1453,0
10,well968,0,10,well1454,0
10,well969,0,10,well1455,0
10,well970,0,10,well1456,0
10,well971,0,10,well1457,0
10,well972,0,10,well1458,0
10,well973,0,10,well1459,0
10,well974,0,10,well1460,0
10,well975,0,10,well1461,0
10,well976,0,10,well1462,0
10,well977,0,10,well1463,0
10,well978,0,10,well1464,0
10,well979,0,10,well1465,0
10,well980,0,10,well1466,0
10,well981,0,10,well1467,0
10,well982,0,10,well1468,0
10,well983,0,10,well1469,0
10,well984,0,10,well1470,0
10,well985,0,10,well1471,0
10,well986,0,10,well1472,0
10,well987,0,10,well1473,0
10,well988,0,10,well1474,0
10,well989,0,10,well1475,0
10,well990,0,10,well1476,0
10,well991,0,10,well1477,0
10,well992,0,10,well1478,0
10,well993,0,10,well1479,0
10,well994,0,10,well1480,0
10,well995,0,10,well1481,0
10,well996,0,10,well1482,0
10,well997,0,10,well1483,0
10,well998,0,10,well1484,0
10,well999,0,10,well1485,0
11,well1000,0,11,well1486,0
11,well1001,0,11,well1487,0
11,well1002,0,11,well1488,0
11,well1003,0,11,well1489,0
11,well1004,0,11,well1490,0
11,well1005,0,11,well1491,0
11,well1006,0,11,well1492,0
11,well1007,0,11,well1493,0
11,well1008,0,11,well1494,0
11,well1009,0,11,well1495,0
11,well1010,0,11,well1496,0
11,well487,0,11,well973,0
11,well488,0,11,well974,0
11,well489,0,11,well975,0
11,well490,0,11,well976,0
11,well491,-1.8,11,well977,-2592
11,well492,-1,11,well978,-1440
11,well493,-1,11,well979,-1440
11,well494,0,11,well980,0
11,well495,0,11,well981,0
11,well496,0,11,well982,0
11,well497,0,11,well983,0
11,well498,0,11,well984,0
11,well499,-0.3,11,well985,-432
11,well500,-1.1,11,well986,-1584
11,well501,0,11,well987,0
11,well502,0,11,well988,0
11,well503,0,11,well989,0
11,well504,-0.8,11,well990,-1152
11,well505,0,11,well991,0
11,well506,0,11,well992,0
11,well507,0,11,well993,0
11,well508,0,11,well994,0
11,well509,-0.9,11,well995,-1296
11,well510,0,11,well996,0
11,well511,-0.125,11,well997,-180
11,well512,-0.125,11,well998,-180
11,well513,-0.125,11,well999,-180
11,well514,-0.125,11,well1000,-180
11,well515,0,11,well1001,0
11,well516,0,11,well1002,0
11,well517,0,11,well1003,0
11,well518,-0.125,11,well1004,-180
11,well519,0,11,well1005,0
11,well520,0,11,well1006,0
11,well521,0,11,well1007,0
11,well522,0,11,well1008,0
11,well523,0,11,well1009,0
11,well524,-0.7,11,well1010,-1008
11,well525,0,11,well1011,0
11,well526,0,11,well1012,0
11,well527,0,11,well1013,0
11,well528,0,11,well1014,0
11,well529,0,11,well1015,0
11,well530,0,11,well1016,0
11,well531,0,11,well1017,0
11,well532,0,11,well1018,0
11,well533,0,11,well1019,0
11,well534,0,11,well1020,0
11,well535,-1,11,well1021,-1440
11,well536,0,11,well1022,0
11,well537,0,11,well1023,0
11,well538,0,11,well1024,0
11,well539,0,11,well1025,0
11,well540,-0.25,11,well1026,-360
11,well541,0,11,well1027,0
11,well542,0,11,well1028,0
11,well543,0,11,well1029,0
11,well544,0,11,well1030,0
11,well545,0,11,well1031,0
11,well546,0,11,well1032,0
11,well547,0,11,well1033,0
11,well548,0,11,well1034,0
11,well549,0,11,well1035,0
11,well550,0,11,well1036,0
11,well551,0,11,well1037,0
11,well552,0,11,well1038,0
11,well553,0,11,well1039,0
11,well554,0,11,well1040,0
11,well555,0,11,well1041,0
11,well556,0,11,well1042,0
11,well557,0,11,well1043,0
11,well558,0,11,well1044,0
11,well559,0,11,well1045,0
11,well560,0,11,well1046,0
11,well561,0,11,well1047,0
11,well562,0,11,well1048,0
11,well563,0,11,well1049,0
11,well564,0,11,well1050,0
11,well565,0,11,well1051,0
11,well566,0,11,well1052,0
11,well567,0,11,well1053,0
11,well568,0,11,well1054,0
11,well569,0,11,well1055,0
11,well570,0,11,well1056,0
11,well571,0,11,well1057,0
11,well572,0,11,well1058,0
11,well573,0,11,well1059,0
11,well574,0,11,well1060,0
11,well575,0,11,well1061,0
11,well576,0,11,well1062,0
11,well577,0,11,well1063,0
11,well578,0,11,well1064,0
11,well579,0,11,well1065,0
11,well580,0,11,well1066,0
11,well581,0,11,well1067,0
11,well582,0,11,well1068,0
11,well583,0,11,well1069,0
11,well584,-0.8,11,well1070,-1152
11,well585,0,11,well1071,0
11,well586,0,11,well1072,0
11,well587,0,11,well1073,0
11,well588,0,11,well1074,0
11,well589,0,11,well1075,0
11,well590,0,11,well1076,0
11,well591,-0.9,11,well1077,-1296
11,well592,-0.4,11,well1078,-576
11,well593,-2.5,11,well1079,-3600
11,well594,-0.8,11,well1080,-1152
11,well595,-0.125,11,well1081,-180
11,well596,-0.6,11,well1082,-864
11,well597,-0.25,11,well1083,-360
11,well598,-0.8,11,well1084,-1152
11,well599,-0.4,11,well1085,-576
11,well600,-0.3,11,well1086,-432
11,well601,-0.4,11,well1087,-576
11,well602,-0.6,11,well1088,-864
11,well603,-0.6,11,well1089,-864
11,well604,-0.4,11,well1090,-576
11,well605,-1.4,11,well1091,-2016
11,well606,-0.7,11,well1092,-1008
11,well607,0,11,well1093,0
11,well608,-1.4,11,well1094,-2016
11,well609,-2.5,11,well1095,-3600
11,well610,-1.4,11,well1096,-2016
11,well611,-0.6,11,well1097,-864
11,well612,-1.4,11,well1098,-2016
11,well613,-0.55,11,well1099,-792
11,well614,-1.8,11,well1100,-2592
11,well615,-2.2,11,well1101,-3168
11,well616,-0.6,11,well1102,-864
11,well617,-0.7,11,well1103,-1008
11,well618,-0.6,11,well1104,-864
11,well619,-0.3,11,well1105,-432
11,well620,-0.3,11,well1106,-432
11,well621,-0.3,11,well1107,-432
11,well622,-0.3,11,well1108,-432
11,well623,-1.4,11,well1109,-2016
11,well624,-1,11,well1110,-1440
11,well625,-0.6,11,well1111,-864
11,well626,-0.5,11,well1112,-720
11,well627,-0.5,11,well1113,-720
11,well628,-0.4,11,well1114,-576
11,well629,-0.4,11,well1115,-576
11,well630,-0.4,11,well1116,-576
11,well631,-0.3,11,well1117,-432
11,well632,-0.3,11,well1118,-432
11,well633,-0.35,11,well1119,-504
11,well634,-1.6,11,well1120,-2304
11,well635,-1,11,well1121,-1440
11,well636,-0.5,11,well1122,-720
11,well637,-0.7,11,well1123,-1008
11,well638,-0.3,11,well1124,-432
11,well639,-0.7,11,well1125,-1008
11,well640,-0.4,11,well1126,-576
11,well641,-0.3,11,well1127,-432
11,well642,-0.4,11,well1128,-576
11,well643,-0.4,11,well1129,-576
11,well644,-0.6,11,well1130,-864
11,well645,-0.4,11,well1131,-576
11,well646,-0.6,11,well1132,-864
11,well647,-0.3,11,well1133,-432
11,well648,-0.3,11,well1134,-432
11,well649,-0.2,11,well1135,-288
11,well650,0,11,well1136,0
11,well651,-0.5,11,well1137,-720
